,town,flat_type,resale_price_logged_mean,resale_price_logged_std
73,KALLANG/WHAMPOA,5 ROOM,13.4761075976962,0.19720050963061164
74,KALLANG/WHAMPOA,EXECUTIVE,13.563119643171495,0.16222331140079024
75,MARINE PARADE,2 ROOM,12.405038565883357,0.13307882324101067
76,MARINE PARADE,3 ROOM,12.892425999425765,0.13057717929186693
77,MARINE PARADE,4 ROOM,13.15360788753019,0.10023134185569187
78,MARINE PARADE,5 ROOM,13.58470582637935,0.11564738754539033
79,PASIR RIS,2 ROOM,12.597440406883212,0.14939061459444222
80,PASIR RIS,3 ROOM,12.82266674149292,0.260653421241404
81,PASIR RIS,4 ROOM,12.994138552276977,0.14864715712315993
82,PASIR RIS,5 ROOM,13.144363284216155,0.1505770610756263
83,PASIR RIS,EXECUTIVE,13.35603247406799,0.15676449698728118
84,PUNGGOL,2 ROOM,12.5708887174574,0.13929319331144746
85,PUNGGOL,3 ROOM,12.900793667616291,0.12649700910766176
86,PUNGGOL,4 ROOM,13.096773091436914,0.15356748510944268
87,PUNGGOL,5 ROOM,13.1802869968078,0.19743625016958183
88,PUNGGOL,EXECUTIVE,13.27247103621331,0.10961655963574872
89,QUEENSTOWN,2 ROOM,12.428535904309234,0.18374128449555255
90,QUEENSTOWN,3 ROOM,12.815568426957755,0.24686950795858031
91,QUEENSTOWN,4 ROOM,13.466779864868043,0.20234612681914493
92,QUEENSTOWN,5 ROOM,13.631517641010857,0.1569738380469163
93,QUEENSTOWN,EXECUTIVE,13.753972152213327,0.15949945386199307
94,SEMBAWANG,2 ROOM,12.571924803772884,0.18003608854790124
95,SEMBAWANG,3 ROOM,12.850266744430408,0.18821678653451818
96,SEMBAWANG,4 ROOM,12.920443530096852,0.1897261011956341
97,SEMBAWANG,5 ROOM,13.030625949848817,0.16877499347429925
98,SEMBAWANG,EXECUTIVE,13.162865408313893,0.12331198377191951
99,SENGKANG,2 ROOM,12.538080972000893,0.14219746918318987
100,SENGKANG,3 ROOM,12.846583520354308,0.13423764761181128
101,SENGKANG,4 ROOM,13.025253841835546,0.16942221881331448
102,SENGKANG,5 ROOM,13.125574917464881,0.16583485753892171
103,SENGKANG,EXECUTIVE,13.286879052108777,0.12208955851560799
104,SERANGOON,2 ROOM,12.405710228460343,0.11069148281515029
105,SERANGOON,3 ROOM,12.71266993347966,0.1490501268321122
106,SERANGOON,4 ROOM,13.043157120484489,0.19927065769030336
107,SERANGOON,5 ROOM,13.25842769475782,0.1899341105803829
108,SERANGOON,EXECUTIVE,13.49889804360252,0.18596385213759573
109,TAMPINES,2 ROOM,12.576537991604146,0.1251281069064944
110,TAMPINES,3 ROOM,12.76400086205107,0.13666594376125105
111,TAMPINES,4 ROOM,13.029765598415738,0.15651068812135457
112,TAMPINES,5 ROOM,13.23026787710754,0.16490807663311355
113,TAMPINES,EXECUTIVE,13.433690348950881,0.150831042420281
114,TAMPINES,MULTI GENERATION,13.576074708996488,0.16467459393525255
115,TOA PAYOH,2 ROOM,12.373752372285688,0.13283278640910048
116,TOA PAYOH,3 ROOM,12.66897110243288,0.20562617330411292
117,TOA PAYOH,4 ROOM,13.230898912142345,0.290422249554379
118,TOA PAYOH,5 ROOM,13.500913502572796,0.23551929582170417
119,TOA PAYOH,EXECUTIVE,13.592842142188363,0.17027487949295153
120,WOODLANDS,2 ROOM,12.500209340672937,0.19010122111592603
121,WOODLANDS,3 ROOM,12.58837787341813,0.18473586930963015
122,WOODLANDS,4 ROOM,12.845884021028525,0.17286318092528483
123,WOODLANDS,5 ROOM,13.013133467295253,0.1586984315517656
124,WOODLANDS,EXECUTIVE,13.326429010966129,0.18908312250050194
125,YISHUN,2 ROOM,12.520538350942466,0.17470378284078883
126,YISHUN,3 ROOM,12.632145973805915,0.15376530525013707
127,YISHUN,4 ROOM,12.862386233839539,0.18560392570512504
128,YISHUN,5 ROOM,13.132287003396122,0.1748677832043067
129,YISHUN,EXECUTIVE,13.31949869740831,0.18143792864432107
130,YISHUN,MULTI GENERATION,13.525748952115155,0.14532912750955632
